no,channel,subs,views,date,like,hate,review
156,런민기,142000,"294,048",2020.7.12.,4200,120,"1,203"
157,런민기,142000,"121,467",2020.7.11.,3100,46,"1,005"
158,런민기,142000,"434,356",2020.7.9.,7100,180,"2,476"
159,런민기,142000,"650,371",2020.7.8.,6300,192,"1,912"
160,런민기,142000,"150,406",2020.7.7.,3100,52,"2,995"
161,히밥heebab,274000,"180,708",2020.7.26.,3800,156,350
162,히밥heebab,274000,"119,944",2020.7.23.,2600,68,257
163,히밥heebab,274000,"217,783",2020.7.22.,4400,131,538
164,히밥heebab,274000,"179,332",2020.7.20.,3300,124,281
165,히밥heebab,274000,"372,341",2020.7.19.,6600,168,478
166,히밥heebab,274000,"425,780",2020.7.16.,6700,328,793
167,히밥heebab,274000,"138,324",2020.7.15.,2800,99,234
168,히밥heebab,274000,"186,162",2020.7.14.,3700,91,275
169,히밥heebab,274000,"184,162",2020.7.12.,3300,106,414
170,히밥heebab,274000,"1,125,041",2020.7.10.,16000,426,"2,340"
171,히밥heebab,274000,"155,146",2020.7.8.,2100,116,112
172,히밥heebab,274000,"151,001",2020.7.7.,3100,73,886
173,히밥heebab,274000,"512,208",2020.7.6.,8600,280,"1,024"
174,히밥heebab,274000,"198,434",2020.7.4.,3600,82,272
175,히밥heebab,274000,"215,775",2020.7.3.,3800,131,313
176,히밥heebab,274000,"246,025",2020.7.1.,4300,186,424
177,히밥heebab,274000,"297,737",2020.6.30.,5900,162,536
178,히밥heebab,274000,"141,080",2020.6.29.,2500,104,112
179,히밥heebab,274000,"561,616",2020.6.27.,10000,251,"1,620"
180,히밥heebab,274000,"221,376",2020.6.25.,4500,162,409
181,[꿀템TV]클템유튜브,384000,"77,024",2020.7.27.,1700,33,351
182,[꿀템TV]클템유튜브,384000,"112,067",2020.7.26.,1000,34,201
183,[꿀템TV]클템유튜브,384000,"118,012",2020.7.25.,1000,40,232
184,[꿀템TV]클템유튜브,384000,"29,295",2020.7.24.,317,10,111
185,[꿀템TV]클템유튜브,384000,"150,037",2020.7.23.,1200,55,236
186,[꿀템TV]클템유튜브,384000,"133,833",2020.7.22.,901,42,150
187,[꿀템TV]클템유튜브,384000,"205,085",2020.7.21.,1300,39,243
188,[꿀템TV]클템유튜브,384000,"290,333",2020.7.20.,1900,196,"1,199"
189,[꿀템TV]클템유튜브,384000,"124,267",2020.7.19.,1100,44,215
